icd10c;icd103c;icd104c;icd10n;icd103n;icd104n;icd11c1;icd11c2;icd11c3;icd11l1;icd11l2;icd11l3;Disease;Definition
B25-B34;B33;B338;Other viral diseases;Other viral diseases, not elsewhere classified;Other specified viral diseases;1;E1Y;1E1Y;Certain infectious or parasitic diseases  ;Certain other viral diseases;Other specified viral diseases;Other specified viral diseases;
B25-B34;B34;B341;Other viral diseases;Viral infection of unspecified site;Enterovirus infection, unspecified site;1;D91;1D91;Certain infectious or parasitic diseases  ;Certain other viral diseases;Viral infection of unspecified site;Enterovirus infection of unspecified site;
B25-B34;B34;B342;Other viral diseases;Viral infection of unspecified site;Coronavirus infection, unspecified site;1;D92;1D92;Certain infectious or parasitic diseases  ;Certain other viral diseases;Viral infection of unspecified site;Coronavirus infection, unspecified site;
B25-B34;B34;B348;Other viral diseases;Viral infection of unspecified site;Other viral infections of unspecified site;1;E1Z;1E1Z;Certain infectious or parasitic diseases  ;Certain other viral diseases;Unspecified viral disease;Unspecified viral disease;
B35-B49;B38;B389;Mycoses;Coccidioidomycosis;Coccidioidomycosis, unspecified;1;F25;1F25;Certain infectious or parasitic diseases  ;Mycoses;Coccidioidomycosis;Coccidioidomycosis, unspecified;A disease caused by an infection with the fungi Coccidioides. This disease presents with symptoms depending on the site of infection, or may be asymptomatic. Transmission is commonly by inhalation of fungal spores. Confirmation is by identification or culture of Coccidioides from affected tissue or samples, or detection of antibodies against coccidioides in serum or cerebrospinal fluid.
B50-B64;B54;B540;Protozoal diseases;Unspecified malaria;Unspecified malaria;1;F4Z;1F4Z;Certain infectious or parasitic diseases  ;Parasitic diseases;Malaria;Malaria, unspecified;A disease caused by an infection with a protozoan parasite from the Plasmodium genus. This disease commonly presents with fever, chills, headache, nausea and vomiting, or malaise. Transmission is through the bite of an infected mosquito. Confirmation is commonly by identification of the Plasmodium genus in a blood sample.
B50-B64;B55;B559;Protozoal diseases;Leishmaniasis;Leishmaniasis, unspecified;1;F54;1F54;Certain infectious or parasitic diseases  ;Nonintestinal protozoal diseases;Leishmaniasis;Leishmaniasis, unspecified;Leishmaniasis is due to infection by vector-borne protozoa from the genus Leishmania. These protozoa exist as obligate intracellular parasites in human and mammalian hosts and are transmitted form host to host by certain species of sandfly. Depending on the Leishmania species involved, the resultant disease picture may range from a localised cutaneous ulcer through extensive mucocutaneous destruction to severe systemic disease.
B65-B83;B72;B720;Helminthiases;Dracunculiasis;Dracunculiasis;1;F64;1F64;Certain infectious or parasitic diseases  ;Parasitic diseases;Helminthiases;Dracunculiasis;A disease resulting from drinking water contaminated with water fleas infected with larvae of the nematode Dracunculus medinensis. It may take up to a year from ingestion of larvae for a mature gravid female worm to migrate to the skin and discharge immature larvae on contact with water. Dracunculiasis typically manifests as an intensely pruritic papule on a lower extremity from which part of the worm may emerge. Secondary pyogenic infection is common. This may be preceded by generalised symptoms such as fever, pruritus, urticaria and oedema.
B95-B98;B96;B962;Bacterial, viral and other infectious agents;Other specified bacterial agents as the cause of diseases classified to other chapters;Escherichia coli [E. coli] as the cause of diseases classified to other chapters;X;N6P4;XN6P4;Extension Codes;Aetiology;Infectious Agents;Escherichia coli;
B95-B98;B96;B965;Bacterial, viral and other infectious agents;Other specified bacterial agents as the cause of diseases classified to other chapters;Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters;X;N5L6;XN5L6;Extension Codes;Aetiology;Infectious Agents;Pseudomonas aeruginosa;A disease of the pulmonary system, caused by an infection with the gram-negative bacteria Pseudomonas aeruginosa. This disease is characterised by fever, cough, and dyspnoea.
B99-B99;B99;B990;Other infectious diseases;Other and unspecified infectious diseases;Other and unspecified infectious diseases;1;H0Z;1H0Z;Certain infectious or parasitic diseases  ;;;Infection, unspecified;
J09-J18;J09;J090;Influenza and pneumonia;Influenza due to identified zoonotic or pandemic influenza virus;Influenza due to identified zoonotic or pandemic influenza virus;1;E31;1E31;Certain infectious or parasitic diseases  ;Influenza;Influenza; Influenza due to identified zoonotic or pandemic influenza virus;Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.
J09-J18;J12;J129;Influenza and pneumonia;Viral pneumonia, not elsewhere classified;Viral pneumonia, unspecified;12;CA40;CA40;Diseases of the respiratory system;Lung infections;Pneumonia;Viral pneumonia;A disease of the pulmonary system, caused by an infection with a viral source. This disease is characterised by fever, lethargy, headache, myalgia, vomiting, or coughing. Transmission is by inhalation of infected respiratory secretions. Confirmation is by identification of the viral source in a sputum sample.
U00-U49;U04;U040;Provisional assignment of new diseases of uncertain etiology or emergency use;Severe acute respiratory syndrome [SARS];Middle East respiratory syndrome coronavirus [MERS-CoV];1;D64;1D64;Certain infectious or parasitic diseases  ;Certain zoonotic viral diseases;Middle East respiratory syndrome;Middle East respiratory syndrome;A disease caused by an infection with Middle East Respiratory Syndrome coronavirus (MERS-CoA). This disease is characterised by severe acute respiratory illness with fever, cough, and shortness of breath. Confirmation is by identification of Middle East Respiratory Syndrome coronavirus from genetic material.
U00-U49;U04;U049;Codes for special purposes;Provisional assignment of new diseases of uncertain etiology or emergency use;Severe acute respiratory syndrome [SARS];1;D65;1D65;Certain infectious or parasitic diseases  ;Certain zoonotic viral diseases;Severe acute respiratory syndrome;Severe acute respiratory syndrome;A disease of the respiratory system, caused by an infection with coronavirus. This disease is characterised by fever, headache, cough, myalgia, tachycardia, or diarrhoea. This disease may also lead to pneumonia. Transmission is by direct contact, inhalation of infected respiratory secretions, or airborne transmission. Confirmation is by identification of coronavirus in a blood, stool, respiratory secretions, or body tissue sample.
